PROV. DE BUENOS AIRES,LA PLATA,1485,OJEDA,DIAG 80 NRO.1053 (ESQ 49),-,
PROV. DE BUENOS AIRES,LA PLATA,1806,FERRANDO,CALLE 7 ESQ. 33,-,
PROV. DE BUENOS AIRES,LA PLATA,3215,DEL INCA,DIAG. 73 NRO 814 (ESQ. 64),-,
PROV. DE BUENOS AIRES,LA PLATA,5171,PALADINO,CALLE 29 NRO.1099 (ESQ.55),-,
PROV. DE BUENOS AIRES,LA PLATA,5299,RIVADULLA,PZA. AZCUENAGA 188 (19 Y 44),-,
PROV. DE BUENOS AIRES,LA PLATA,5973,WALCZUK,C.GRAL.BELGRANO S/N(CARREFOUR),-,
PROV. DE BUENOS AIRES,LA PLATA,9771,BRUNO,CALLE 5 NRO 1088 (ESQ.55),-,
PROV. DE BUENOS AIRES,LOS HORNOS,5774,PAGANO,AV.60 2448 E/143 Y 144,-,
PROV. DE BUENOS AIRES,LOS HORNOS,8877,CASTRO,CALLE 60 NRO.2573 E/146 Y 147,-,
PROV. DE BUENOS AIRES,LUJAN,1767,DEL BICENTENARIO,SAN MARTIN 1000,+,(02323)-597078
PROV. DE BUENOS AIRES,LUJAN,1770,BOUVIER,COLON 1297 ESQ. ITUZAINGO,-,
PROV. DE BUENOS AIRES,LUJAN,1778,DE GREGORIO,CASEROS 1515,-,
PROV. DE BUENOS AIRES,LUJAN,1786,FALANGA,SAN MARTIN 1468,-,
PROV. DE BUENOS AIRES,LUJAN,1790,GARAVANO,ALSINA 1893,-,
PROV. DE BUENOS AIRES,LUJAN,1798,IDEAL,MITRE 698 ESQ. ALSINA,-,
PROV. DE BUENOS AIRES,LUJAN,1802,LORENZO CASEY,LORENZO CASEY 786,mod alt,
PROV. DE BUENOS AIRES,LUJAN,1807,SEGURA,MARIANO MORENO 1293,-,
PROV. DE BUENOS AIRES,LUJAN,1808,MITRE,MITRE 599,-,
PROV. DE BUENOS AIRES,LUJAN,1811,MONTONE,DR. REAL 1013,-,
PROV. DE BUENOS AIRES,LUJAN,1812,MORENO,RODOLFO MORENO 431,mod alt,
PROV. DE BUENOS AIRES,LUJAN,1813,WOLTER,LAS HERAS 779,-,
PROV. DE BUENOS AIRES,LUJAN,1814,NEGRI,MITRE 171,-,
PROV. DE BUENOS AIRES,LUJAN,1818,DI GESU,AV. ESPA#A 1279,mod alt,
PROV. DE BUENOS AIRES,LUJAN,1822,ROBIANO,HUMBERTO I 701 ESQ.ALTE.BROWN,-,
PROV. DE BUENOS AIRES,LUJAN,1823,COMPAGNUCCI,SAN MARTIN 1698,-,
PROV. DE BUENOS AIRES,LUJAN,1824,ROLLA,SAN MARTIN 482,-,
PROV. DE BUENOS AIRES,LUJAN,1831,SAN MARTIN,SAN MARTIN 238,-,
PROV. DE BUENOS AIRES,LUJAN,2615,COL.FARM.DE LUJAN,ALSINA 832,-,
PROV. DE BUENOS AIRES,LUJAN,2961,ARMANDO,25 DE MAYO 574,-,
PROV. DE BUENOS AIRES,LUJAN,2964,CAVA,J. HERNANDEZ 751,-,
PROV. DE BUENOS AIRES,LUJAN,2965,DAGNINO,TROP. MOREIRA 1190,+,(02323)-494694
PROV. DE BUENOS AIRES,LUJAN,2966,DE LA TERMINAL,9 DE JULIO 660,-,
